TokenIndex,DetectionIndex,BurstIteration,CacheSet,Probe
0,0,10,36,36
0,0,10,37,40
0,0,10,38,38
0,0,10,39,36
0,0,10,40,38
0,0,10,41,34
0,0,10,42,40
0,0,10,43,36
0,0,10,44,40
0,0,10,45,40
0,0,10,46,42
0,0,10,47,38
0,0,10,48,36
0,0,10,49,62
0,0,10,50,74
0,0,10,51,36
0,0,10,52,40
0,0,10,53,40
0,0,10,54,68
0,0,10,55,36
0,0,10,56,36
0,0,10,57,36
0,0,10,58,36
0,0,10,59,40
0,0,10,60,38
0,0,10,61,46
0,0,10,62,40
0,0,10,63,38
0,0,11,0,40
0,0,11,1,40
0,0,11,2,38
0,0,11,3,34
0,0,11,4,38
0,0,11,5,36
0,0,11,6,36
0,0,11,7,44
0,0,11,8,38
0,0,11,9,36
0,0,11,10,34
0,0,11,11,38
0,0,11,12,36
0,0,11,13,36
0,0,11,14,42
0,0,11,15,36
0,0,11,16,38
0,0,11,17,40
0,0,11,18,38
0,0,11,19,40
0,0,11,20,38
0,0,11,21,72
0,0,11,22,36
0,0,11,23,36
0,0,11,24,34
0,0,11,25,36
0,0,11,26,36
0,0,11,27,34
0,0,11,28,40
0,0,11,29,34
0,0,11,30,36
0,0,11,31,40
0,0,11,32,36
0,0,11,33,38
0,0,11,34,36
0,0,11,35,40
0,0,11,36,36
0,0,11,37,38
0,0,11,38,40
0,0,11,39,36
0,0,11,40,38
0,0,11,41,40
0,0,11,42,36
0,0,11,43,34
0,0,11,44,38
0,0,11,45,36
0,0,11,46,36
0,0,11,47,36
0,0,11,48,36
0,0,11,49,40
0,0,11,50,34
0,0,11,51,34
0,0,11,52,38
0,0,11,53,36
0,0,11,54,38
0,0,11,55,34
0,0,11,56,36
0,0,11,57,40
0,0,11,58,36
0,0,11,59,38
0,0,11,60,36
0,0,11,61,36
0,0,11,62,36
0,0,11,63,38
0,0,12,0,36
0,0,12,1,36
0,0,12,2,36
0,0,12,3,36
0,0,12,4,32
0,0,12,5,38
0,0,12,6,38
0,0,12,7,36
0,0,12,8,34
0,0,12,9,36
0,0,12,10,38
0,0,12,11,36
0,0,12,12,34
0,0,12,13,36
0,0,12,14,38
0,0,12,15,36
0,0,12,16,40
0,0,12,17,36
0,0,12,18,40
0,0,12,19,36
0,0,12,20,38
0,0,12,21,34
0,0,12,22,38
0,0,12,23,40
0,0,12,24,34
0,0,12,25,40
0,0,12,26,36
0,0,12,27,40
0,0,12,28,34
0,0,12,29,36
0,0,12,30,36
0,0,12,31,36
0,0,12,32,34
0,0,12,33,34
0,0,12,34,36
0,0,12,35,36
0,0,12,36,36
0,0,12,37,40
0,0,12,38,32
0,0,12,39,36
0,0,12,40,38
0,0,12,41,34
0,0,12,42,34
0,0,12,43,36
0,0,12,44,34
0,0,12,45,34
0,0,12,46,36
