TokenIndex,DetectionIndex,BurstIteration,CacheSet,Probe
0,0,10,13,40
0,0,10,14,40
0,0,10,15,36
0,0,10,16,40
0,0,10,17,38
0,0,10,18,38
0,0,10,19,34
0,0,10,20,34
0,0,10,21,40
0,0,10,22,36
0,0,10,23,46
0,0,10,24,34
0,0,10,25,40
0,0,10,26,36
0,0,10,27,38
0,0,10,28,40
0,0,10,29,36
0,0,10,30,36
0,0,10,31,40
0,0,10,32,36
0,0,10,33,40
0,0,10,34,38
0,0,10,35,36
0,0,10,36,36
0,0,10,37,36
0,0,10,38,36
0,0,10,39,36
0,0,10,40,34
0,0,10,41,36
0,0,10,42,36
0,0,10,43,34
0,0,10,44,36
0,0,10,45,38
0,0,10,46,40
0,0,10,47,36
0,0,10,48,36
0,0,10,49,34
0,0,10,50,36
0,0,10,51,34
0,0,10,52,34
0,0,10,53,36
0,0,10,54,40
0,0,10,55,40
0,0,10,56,38
0,0,10,57,38
0,0,10,58,38
0,0,10,59,36
0,0,10,60,40
0,0,10,61,36
0,0,10,62,72
0,0,10,63,42
0,0,11,0,34
0,0,11,1,36
0,0,11,2,34
0,0,11,3,34
0,0,11,4,36
0,0,11,5,38
0,0,11,6,36
0,0,11,7,34
0,0,11,8,34
0,0,11,9,34
0,0,11,10,40
0,0,11,11,38
0,0,11,12,36
0,0,11,13,36
0,0,11,14,38
0,0,11,15,36
0,0,11,16,36
0,0,11,17,34
0,0,11,18,36
0,0,11,19,32
0,0,11,20,36
0,0,11,21,38
0,0,11,22,36
0,0,11,23,40
0,0,11,24,34
0,0,11,25,36
0,0,11,26,36
0,0,11,27,36
0,0,11,28,38
0,0,11,29,36
0,0,11,30,38
0,0,11,31,36
0,0,11,32,34
0,0,11,33,34
0,0,11,34,36
0,0,11,35,38
0,0,11,36,36
0,0,11,37,36
0,0,11,38,36
0,0,11,39,36
0,0,11,40,38
0,0,11,41,32
0,0,11,42,38
0,0,11,43,34
0,0,11,44,38
0,0,11,45,34
0,0,11,46,36
0,0,11,47,36
0,0,11,48,36
0,0,11,49,38
0,0,11,50,38
0,0,11,51,34
0,0,11,52,38
0,0,11,53,38
0,0,11,54,36
0,0,11,55,38
0,0,11,56,40
0,0,11,57,38
0,0,11,58,36
0,0,11,59,34
0,0,11,60,38
0,0,11,61,38
0,0,11,62,36
0,0,11,63,36
0,0,12,0,38
0,0,12,1,38
0,0,12,2,40
0,0,12,3,34
0,0,12,4,32
0,0,12,5,38
0,0,12,6,40
0,0,12,7,34
0,0,12,8,38
0,0,12,9,38
0,0,12,10,40
0,0,12,11,36
0,0,12,12,36
0,0,12,13,36
0,0,12,14,36
0,0,12,15,36
0,0,12,16,38
0,0,12,17,38
0,0,12,18,36
0,0,12,19,40
0,0,12,20,40
0,0,12,21,42
0,0,12,22,38
0,0,12,23,40
0,0,12,24,40
0,0,12,25,46
0,0,12,26,42
0,0,12,27,40
0,0,12,28,42
0,0,12,29,40
0,0,12,30,36
0,0,12,31,36
0,0,12,32,38
0,0,12,33,38
0,0,12,34,36
0,0,12,35,34
0,0,12,36,40
0,0,12,37,40
0,0,12,38,34
0,0,12,39,36
0,0,12,40,40
0,0,12,41,38
0,0,12,42,34
0,0,12,43,36
0,0,12,44,36
0,0,12,45,36
